% Exp     F_O2        F_NO3        F_SO4        F_NH4        F_H2S        F_PO4          zox     zNO3     zSO4
 46 -6.537959e-05 -3.732888e-05 -7.620616e-05 9.300674e-06 6.985632e-05 5.151200e-09  0.04927  0.49518 100.00000
 47 -1.428747e-05 -5.077250e-06 -1.497017e-05 7.867062e-07 8.620326e-06 7.060757e-10  0.21723  3.39465 100.00000
 48 -1.329744e-04 -1.067817e-04 -3.859537e-04 4.777045e-05 3.796038e-04 9.933768e-08  0.02620  0.16278 100.00000
 49 -2.653325e-05 -8.293114e-06 -2.440791e-05 3.019599e-06 1.805807e-05 1.780320e-09  0.11602  2.17526 100.00000
 50 -5.611735e-05 -2.911931e-05 -8.680391e-05 8.335198e-06 8.045407e-05 8.372335e-09  0.05712  0.58433 100.00000
 51 -2.555132e-05 -6.375823e-06 -2.424366e-05 1.720101e-06 1.789382e-05 1.964239e-09  0.12021  2.45408 100.00000
 52 -9.367812e-06 -3.654005e-06 -1.008835e-05 5.439338e-07 3.738509e-06 1.646340e-09  0.33169  5.11754 100.00000
 53 -3.252368e-06 -6.862941e-07 -6.521857e-06 -2.389755e-09 1.720165e-07 1.827068e-10  0.94045 22.82262 100.00000
 54 -3.140254e-06 -7.790177e-07 -7.207603e-06 -6.132190e-11 8.577627e-07 2.236644e-10  0.97767 19.97718 100.00000
 55 -2.279813e-06 -7.491652e-07 -7.021655e-06 2.701123e-08 6.718150e-07 1.593073e-10  1.35432 22.87193 100.00000
 56 -2.423043e-05 -9.562704e-06 -2.217905e-05 2.335433e-06 1.582921e-05 3.479962e-09  0.12842  1.91985 100.00000
 57 -3.242371e-05 -4.928770e-06 -3.287490e-05 3.086062e-06 2.652506e-05 3.164563e-09  0.09412  2.65415 100.00000
 58 -1.529995e-05 -5.117471e-06 -1.711113e-05 1.537207e-06 1.076129e-05 6.808005e-10  0.20211  3.34882 100.00000
 59 -3.731511e-05 -1.905883e-05 -5.494723e-05 6.577903e-06 4.859739e-05 3.600805e-09  0.08508  0.94211 100.00000
 60 -1.903370e-05 -1.947609e-06 -1.361998e-05 7.380378e-07 7.270137e-06 4.211645e-10  0.15985  6.10160 100.00000
 61 -1.865927e-05 -4.612091e-06 -1.358641e-05 1.430068e-06 7.236570e-06 6.145429e-10  0.16407  3.83199 100.00000
 62 -8.417614e-05 -4.752559e-05 -1.617159e-04 1.912732e-05 1.553661e-04 3.039490e-08  0.03827  0.36486 100.00000
 63 -6.638754e-06 -1.258050e-06 -8.791645e-06 2.579811e-07 2.441805e-06 3.004393e-10  0.45989 12.43743 100.00000
 64 -3.431305e-06 -1.123668e-06 -6.896611e-06 1.084181e-07 5.467706e-07 4.672607e-11  0.89848 16.07729 100.00000
 65 -2.655703e-05 -5.796647e-06 -3.129926e-05 3.635320e-06 2.494942e-05 1.593294e-09  0.11511  2.88029 100.00000
 66 -3.103472e-05 -1.110148e-05 -2.962575e-05 2.605932e-06 2.327591e-05 1.357145e-09  0.09998  1.69717 100.00000
 67 -1.210903e-05 -1.808136e-06 -9.663254e-06 6.551628e-07 3.313414e-06 3.946407e-10  0.25154  8.35784 100.00000
 68 -1.264540e-05 -1.965422e-06 -1.137025e-05 5.367494e-07 5.020411e-06 5.112903e-10  0.24101  7.56824 100.00000
 69 -8.324312e-06 -1.093009e-06 -7.430950e-06 9.701885e-08 1.081110e-06 1.033653e-09  0.36570 12.95096 100.00000
 70 -2.187835e-05 -2.939403e-06 -1.979882e-05 1.171962e-06 1.344898e-05 6.882345e-10  0.13926  4.50900 100.00000
 71 -1.379979e-04 -1.180922e-04 -4.063655e-04 5.194627e-05 4.000157e-04 6.029474e-08  0.02601  0.14648 100.00000
 72 -7.400267e-05 -4.501604e-05 -1.408376e-04 1.790429e-05 1.344878e-04 1.177345e-08  0.04368  0.40416 100.00000
 73 -1.861209e-05 -2.221308e-06 -1.597549e-05 1.527603e-06 9.625654e-06 7.703849e-10  0.16353  5.90314 100.00000
 74 -6.196884e-06 -1.359436e-06 -9.603482e-06 3.201566e-07 3.253642e-06 3.583051e-10  0.49363 11.82345 100.00000
 75 -3.712247e-05 -1.476361e-05 -4.625103e-05 4.280669e-06 3.990119e-05 5.118106e-09  0.08419  1.14921 100.00000
 76 -2.422653e-06 -6.795312e-07 -6.559270e-06 1.957041e-08 2.094300e-07 4.187253e-11  1.26794 25.23277 100.00000
 77 -5.599936e-05 -3.339208e-05 -1.154142e-04 1.460226e-05 1.090644e-04 8.371911e-09  0.05760  0.53979 100.00000
 78 -6.382899e-05 -3.712107e-05 -1.036477e-04 1.041413e-05 9.729791e-05 3.022014e-08  0.05083  0.47049 100.00000
