% Depth [mm]	O2 data
1.75E+00	1.47E+00
2.00E+00	1.47E+00
2.25E+00	1.21E+00
2.50E+00	1.47E+00
2.75E+00	1.21E+00
3.00E+00	1.08E+00
3.25E+00	1.08E+00
3.50E+00	1.08E+00
3.75E+00	8.28E-01
4.00E+00	8.28E-01
4.25E+00	8.28E-01
4.50E+00	9.55E-01
4.75E+00	7.00E-01
5.00E+00	7.00E-01
5.25E+00	8.28E-01
5.50E+00	7.00E-01
5.75E+00	7.00E-01
6.00E+00	7.00E-01
6.25E+00	4.45E-01
6.50E+00	7.00E-01
6.75E+00	3.18E-01
7.00E+00	7.00E-01
7.25E+00	3.18E-01
7.50E+00	4.45E-01
7.75E+00	3.18E-01
8.00E+00	4.45E-01
8.25E+00	3.18E-01
8.50E+00	7.00E-01
8.75E+00	3.18E-01
9.00E+00	4.45E-01
9.25E+00	4.45E-01
9.50E+00	4.45E-01
9.75E+00	4.45E-01
1.00E+01	4.45E-01
1.03E+01	3.18E-01
1.05E+01	4.45E-01
1.08E+01	3.18E-01
1.10E+01	3.18E-01
1.13E+01	3.18E-01

