%Depth	   PO4	   NH4	    pH 	   TA	    Fe	    F	Mn	   NO3	   SO4	H2S
6.50	73.20	416.60	NaN	6490.00	1.70	60.80	0.30	NaN	25900.00	80.70
8.50	76.20	491.40	NaN	7170.00	NaN	59.30	0.30	NaN	25400.00	139.00
11.50	83.40	552.00	NaN	7930.00	NaN	54.60	0.30	NaN	24500.00	275.00
15.50	91.40	675.80	NaN	9290.00	NaN	54.60	0.30	NaN	24000.00	378.00
20.50	103.60	736.40	NaN	10600.00	NaN	55.00	0.30	NaN	22200.00	599.00
25.50	103.60	894.50	NaN	12000.00	NaN	49.60	0.30	NaN	21400.00	835.00
30.50	101.60	920.90	NaN	13400.00	NaN	49.20	0.30	NaN	20300.00	1124.00
40.50	98.40	1200.20	NaN	15780.00	NaN	35.40	1.80	NaN	18700.00	1221.00
50.50	107.60	1432.10	NaN	18940.00	NaN	47.30	1.80	NaN	16600.00	1811.00
0.13	NaN	NaN	NaN	NaN	14.10	NaN	NaN	NaN	29100.00	NaN
0.38	NaN	NaN	NaN	NaN	30.10	NaN	NaN	NaN	28400.00	NaN
0.75	NaN	NaN	NaN	NaN	32.20	NaN	NaN	NaN	28800.00	NaN
1.25	NaN	NaN	NaN	NaN	18.20	NaN	NaN	NaN	28600.00	NaN
1.75	NaN	NaN	NaN	NaN	10.40	NaN	NaN	NaN	28500.00	0.70
2.25	NaN	NaN	NaN	NaN	4.90	NaN	NaN	NaN	28200.00	1.30
2.75	NaN	NaN	NaN	NaN	1.80	NaN	NaN	NaN	27800.00	8.20
3.50	NaN	NaN	NaN	NaN	0.50	NaN	NaN	NaN	28100.00	53.60
4.50	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	27200.00	79.80
5.50	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	27100.00	127.00
6.50	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	26900.00	171.50
8.50	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	26500.00	317.50
11.50	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	25700.00	441.00
15.50	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	24500.00	633.00
20.50	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	846.00
25.50	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	22000.00	1155.00
30.50	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	21370.00	1639.00
40.50	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2070.00
0.00	0.00	5.90	NaN	NaN	0.80	67.70	0.00	NaN	NaN	NaN
0.13	49.30	75.20	NaN	NaN	55.00	93.10	8.90	27.40	NaN	NaN
0.38	62.80	105.80	NaN	NaN	53.40	97.40	9.90	11.10	NaN	NaN
0.75	56.10	125.10	NaN	NaN	38.40	92.40	8.90	1.90	NaN	NaN
1.25	51.20	144.40	NaN	NaN	27.10	89.30	7.40	1.30	NaN	NaN
1.75	49.30	165.30	NaN	NaN	15.90	78.90	4.50	NaN	NaN	NaN
2.25	51.20	186.20	NaN	NaN	5.20	74.30	1.60	NaN	NaN	NaN
2.75	54.10	210.40	NaN	NaN	1.20	69.30	0.60	NaN	NaN	NaN
3.50	56.10	247.40	NaN	NaN	0.70	69.30	1.10	NaN	NaN	NaN
4.50	58.00	279.50	NaN	NaN	0.50	67.70	1.60	NaN	NaN	NaN
5.50	57.00	318.10	NaN	NaN	0.70	64.60	1.60	NaN	NaN	NaN
6.50	66.70	356.60	NaN	NaN	0.60	66.60	2.10	NaN	NaN	NaN
8.50	69.60	414.30	NaN	NaN	0.10	61.90	2.10	NaN	NaN	NaN
11.50	74.40	478.60	NaN	NaN	0.50	58.50	3.50	NaN	NaN	NaN
15.50	84.10	655.60	NaN	NaN	0.10	54.60	2.60	NaN	NaN	NaN
20.50	87.00	787.50	NaN	NaN	0.10	55.00	6.00	NaN	NaN	NaN
25.50	85.00	893.60	NaN	NaN	0.90	55.00	6.50	NaN	NaN	NaN
30.50	85.00	1022.30	NaN	NaN	0.90	53.90	5.00	NaN	NaN	NaN
40.50	83.10	1237.90	NaN	NaN	0.50	49.60	6.00	NaN	NaN	NaN
50.50	84.10	1511.30	NaN	NaN	0.70	49.60	6.00	NaN	NaN	NaN
0.00	0.00	4.90	7.68	2480.00	3.30	72.80	0.40	NaN	NaN	NaN
0.13	55.00	63.60	7.56	3040.00	0.40	72.80	4.70	NaN	NaN	NaN
0.38	55.00	86.70	7.62	3310.00	45.70	73.50	5.70	NaN	NaN	NaN
0.75	45.00	108.50	7.71	3430.00	37.00	74.20	4.70	NaN	NaN	0.40
1.25	35.00	139.70	7.79	3740.00	21.40	69.80	4.00	NaN	NaN	0.00
1.75	31.00	171.00	7.86	4100.00	13.70	64.40	3.00	NaN	NaN	0.30
2.25	36.00	207.70	7.88	4470.00	13.60	65.60	3.00	NaN	NaN	0.30
