% NH4 uM BC68
0	4.9
0.13	63.6
0.38	86.7
0.75	108.5
1.25	139.7
1.75	171
2.25	207.7
2.75	241.7
3.5	274.3
4.5	312.4
5.5	349.1
6.5	376.2
8.5	390.9
11.5	477.9
15.5	586.6
20.5	690
25.5	776.9
30.5	866.7
40.5	953.7
50.5	1119.5

