% Exp     F_O2        F_NO3        F_SO4        F_NH4        F_H2S        F_PO4          zox     zNO3     zSO4
 46 -1.368040e-05 -7.233415e-06 -8.911986e-06 4.397097e-07 2.562146e-06 7.310042e-10  0.23320  2.69615 100.00000
 47 -1.436509e-05 -7.496666e-06 -9.225875e-06 4.873236e-07 2.876035e-06 7.829995e-10  0.22171  2.59231 100.00000
 48 -8.856200e-07 -1.590761e-07 -6.349840e-06 7.469412e-09 -1.108492e-23 1.384386e-11  6.60908 100.00000 100.00000
 49 -8.260951e-06 -4.990055e-06 -7.086836e-06 1.506408e-07 7.369960e-07 3.659879e-10  0.39538  4.06541 100.00000
 50 -6.494268e-06 -4.158974e-06 -6.737078e-06 8.965850e-08 3.872377e-07 2.652028e-10  0.51121  4.98522 100.00000
 51 -1.139719e-05 -6.328546e-06 -8.001691e-06 2.990077e-07 1.651851e-06 5.670843e-10  0.28193  3.12376 100.00000
 52 -9.504884e-06 -5.537693e-06 -7.403976e-06 2.033138e-07 1.054136e-06 4.423799e-10  0.34097  3.62098 100.00000
 53 -4.448048e-05 -1.770054e-05 -4.252903e-05 5.122182e-06 3.617919e-05 4.337645e-09  0.06998  1.02141 100.00000
 54 -1.028207e-05 -5.867901e-06 -7.632478e-06 2.403345e-07 1.282638e-06 4.923636e-10  0.31396  3.39590 100.00000
 55 -1.880811e-05 -9.139730e-06 -1.172902e-05 8.576365e-07 5.379176e-06 1.151913e-09  0.16799  2.08656 100.00000
 56 -1.436709e-06 -7.082199e-07 -6.349840e-06 8.704257e-09 -2.186452e-23 2.510761e-11  3.08817 100.00000 100.00000
 57 -1.323551e-05 -7.060540e-06 -8.718197e-06 4.101155e-07 2.368357e-06 6.979191e-10  0.24133  2.76884 100.00000
 58 -3.447393e-05 -1.446689e-05 -2.716939e-05 3.025369e-06 2.081955e-05 2.883108e-09  0.09058  1.26806 100.00000
 59 -7.885718e-07 -7.890080e-08 -6.349840e-06 7.135678e-09 -4.810660e-24 1.294362e-11  8.23771 100.00000 100.00000
 60 -2.149396e-06 -1.453536e-06 -6.352055e-06 1.021842e-08 2.214923e-09 5.287794e-11  1.81456 48.18579 100.00000
 61 -4.349624e-05 -1.738568e-05 -4.082662e-05 4.891170e-06 3.447678e-05 4.182545e-09  0.07159  1.04119 100.00000
 62 -4.916435e-06 -3.339020e-06 -6.521238e-06 4.881765e-08 1.713976e-07 1.827974e-10  0.69218  6.39092 100.00000
 63 -2.152544e-07 1.145384e-08 -6.349840e-06 2.212862e-09 -1.021722e-24 6.925034e+04 100.00000 100.00000 100.00000
 64 -3.065437e-05 -1.320781e-05 -2.244228e-05 2.371933e-06 1.609244e-05 2.399497e-09  0.10205  1.39884 100.00000
 65 -2.912581e-07 1.877816e-08 -6.349840e-06 3.002517e-09 -7.461209e-25 6.925034e+04 100.00000 100.00000 100.00000
 66 -3.351565e-05 -1.415261e-05 -2.592465e-05 2.853821e-06 1.957481e-05 2.758057e-09  0.09321  1.29841 100.00000
 67 -1.905847e-06 -1.198333e-06 -6.350657e-06 9.606850e-09 8.170619e-10 4.252425e-11  2.11369 65.28048 100.00000
 68 -1.706714e-05 -8.507544e-06 -1.065129e-05 6.998189e-07 4.301455e-06 1.000873e-09  0.18561  2.25664 100.00000
 69 -1.979195e-05 -9.491630e-06 -1.239372e-05 9.541025e-07 6.043876e-06 1.240945e-09  0.15943  2.00226 100.00000
 70 -3.168047e-06 -2.288621e-06 -6.382401e-06 1.853712e-08 3.256133e-08 9.892669e-11  1.13756  9.70541 100.00000
 71 -3.575236e-07 2.516402e-08 -6.349840e-06 3.690995e-09 -7.461209e-25 -1.360680e-10 100.00000 100.00000 100.00000
 72 -3.375673e-06 -2.423916e-06 -6.393679e-06 2.131197e-08 4.383947e-08 1.085613e-10  1.05693  9.13930 100.00000
 73 -5.509288e-06 -3.658064e-06 -6.591927e-06 6.265958e-08 2.420873e-07 2.129383e-10  0.61095  5.76245 100.00000
 74 -4.526765e-06 -3.120548e-06 -6.481439e-06 4.070554e-08 1.315994e-07 1.634980e-10  0.75844  6.90128 100.00000
 75 -4.083066e-06 -2.861903e-06 -6.442423e-06 3.242167e-08 9.258317e-08 1.419818e-10  0.85116  7.61086 100.00000
 76 -6.629664e-06 -4.225425e-06 -6.759782e-06 9.376078e-08 4.099424e-07 2.726057e-10  0.49999  4.89714 100.00000
 77 -1.781926e-06 -1.068659e-06 -6.350235e-06 9.341225e-09 3.947636e-10 3.750560e-11  2.30665 74.62103 100.00000
 78 -2.545384e-07 1.523956e-08 -6.349840e-06 2.621011e-09 -2.594645e-24 -6.925034e+04 100.00000 100.00000 100.00000
 79 -3.489902e-07 2.434167e-08 -6.349840e-06 3.602335e-09 -7.461209e-25 -1.360680e-10 100.00000 100.00000 100.00000
