% Exp     F_O2        F_NO3        F_SO4        F_NH4        F_H2S        F_PO4          zox     zNO3     zSO4
 98 -1.111346e-05 -6.212674e-06 -7.903097e-06 2.834563e-07 1.553257e-06 5.477382e-10  0.28944  3.18815 100.00000
 99 -2.092933e-06 -1.394530e-06 -6.351653e-06 1.006316e-08 1.813196e-09 5.043358e-11  1.87619 52.07582 100.00000
100 -5.609545e-06 -3.710598e-06 -6.605108e-06 6.517927e-08 2.552683e-07 2.181317e-10  0.59905  5.67017 100.00000
101 -4.247707e-05 -1.705901e-05 -3.910797e-05 4.657666e-06 3.275813e-05 4.024710e-09  0.07332  1.06252 100.00000
102 -5.284212e-07 2.120681e-08 -6.349840e-06 5.349864e-09 -5.390747e-25 1.115155e-11 37.63091 100.00000 100.00000
103 -1.614187e-06 -8.946743e-07 -6.349914e-06 9.012427e-09 7.389450e-11 3.112482e-11  2.63083 88.57484 100.00000
104 -2.047230e-07 1.043896e-08 -6.349840e-06 2.103445e-09 -1.021722e-24 6.925034e+04 100.00000 100.00000 100.00000
105 -3.646444e-06 -2.595613e-06 -6.410424e-06 2.526070e-08 6.058408e-08 1.212382e-10  0.96745  8.48604 100.00000
106 -5.064334e-06 -3.420034e-06 -6.537719e-06 5.210139e-08 1.878787e-07 1.902269e-10  0.66996  6.21932 100.00000
107 -5.688203e-07 1.951681e-08 -6.349840e-06 5.735446e-09 -1.964358e-24 1.138609e-11 28.19106 100.00000 100.00000
108 -4.236584e-07 2.565478e-08 -6.349840e-06 4.346566e-09 -2.153266e-24     NaN 75.13090 100.00000 100.00000
109 -2.997550e-05 -1.298209e-05 -2.166746e-05 2.264262e-06 1.531762e-05 2.317687e-09  0.10440  1.42512 100.00000
110 -2.158812e-05 -1.012560e-05 -1.371153e-05 1.143832e-06 7.361689e-06 1.410324e-09  0.14587  1.86602 100.00000
111 -1.232645e-05 -6.702368e-06 -8.346989e-06 3.529267e-07 1.997149e-06 6.320347e-10  0.25983  2.93217 100.00000
112 -3.349990e-07 2.299337e-08 -6.349840e-06 3.456971e-09 -7.461209e-25 -1.385007e+05 100.00000 100.00000 100.00000
113 -2.312159e-07 1.299203e-08 -6.349840e-06 2.378698e-09 -1.021722e-24 1.385007e+05 100.00000 100.00000 100.00000
114 -1.478239e-05 -7.655560e-06 -9.426518e-06 5.175754e-07 3.076678e-06 8.153283e-10  0.21524  2.53330 100.00000
115 -5.941256e-07 1.844950e-08 -6.349840e-06 5.976698e-09 -1.993778e-24 1.153210e-11 23.12872 100.00000 100.00000
116 -2.489471e-05 -1.126914e-05 -1.649210e-05 1.539297e-06 1.014226e-05 1.745168e-09  0.12612  1.66110 100.00000
