% Exp     F_O2        F_NO3        F_SO4        F_NH4        F_H2S        F_PO4          zox     zNO3     zSO4
 46 -1.976971e-04 -6.481153e-05 -8.230465e-04 1.075026e-04 8.166966e-04 6.044306e-08  0.01561  0.26336 66.10369
 47 -2.556671e-04 -8.242628e-05 -1.390089e-03 1.807303e-04 1.383740e-03 9.822781e-08  0.01207  0.20597 10.59916
 48 -3.735109e-04 -1.181801e-04 -2.999244e-03 3.879970e-04 3.011625e-03 2.030572e-07  0.00826  0.14278  2.92039
 49 -3.770730e-04 -1.192602e-04 -3.057412e-03 3.954812e-04 3.070378e-03 2.068107e-07  0.00818  0.14147  2.85103
 50 -1.095052e-04 -3.790849e-05 -2.483598e-04 3.242780e-05 2.420099e-04 2.039231e-08  0.02825  0.45796 100.00000
 51 -3.893468e-04 -1.229817e-04 -3.262124e-03 4.218176e-04 3.277148e-03 2.200071e-07  0.00792  0.13713  2.63170
 52 -7.371513e-05 -2.688026e-05 -1.122674e-04 1.445842e-05 1.059176e-04 1.014023e-08  0.04205  0.65600 100.00000
 53 -1.126742e-04 -3.887986e-05 -2.631063e-04 3.436640e-05 2.567564e-04 2.146707e-08  0.02745  0.44608 100.00000
 54 -3.492684e-04 -1.108284e-04 -2.618220e-03 3.389616e-04 2.626766e-03 1.784234e-07  0.00883  0.15240  3.47826
 55 -2.573274e-04 -8.293041e-05 -1.408511e-03 1.831067e-04 1.402161e-03 9.944388e-08  0.01199  0.20469 10.16017
 56 -1.866498e-04 -6.145085e-05 -7.321085e-04 9.569675e-05 7.257587e-04 5.427355e-08  0.01654  0.27813 100.00000
 57 -3.707881e-04 -1.173544e-04 -2.955158e-03 3.823244e-04 2.967096e-03 2.002112e-07  0.00832  0.14380  2.97533
 58 -3.743214e-04 -1.184258e-04 -3.012429e-03 3.896935e-04 3.024943e-03 2.039082e-07  0.00824  0.14248  2.90436
 59 -3.547018e-04 -1.124762e-04 -2.701365e-03 3.496636e-04 2.710749e-03 1.838062e-07  0.00869  0.15013  3.33842
 60 -2.459045e-04 -7.946165e-05 -1.284228e-03 1.670716e-04 1.277878e-03 9.122811e-08  0.01255  0.21381 14.43971
 61 -3.928073e-04 -1.240310e-04 -3.321040e-03 4.293964e-04 3.336656e-03 2.238013e-07  0.00785  0.13596  2.57485
 62 -2.303380e-04 -7.473319e-05 -1.124116e-03 1.464040e-04 1.117766e-03 8.060023e-08  0.01340  0.22764 23.80042
 63 -3.162587e-04 -1.008156e-04 -2.141037e-03 2.775206e-04 2.144768e-03 1.474365e-07  0.00975  0.16778  4.59926
 64 -1.912095e-04 -6.283814e-05 -7.688489e-04 1.004861e-04 7.624991e-04 5.677996e-08  0.01615  0.27184 100.00000
 65 -3.199913e-04 -1.019480e-04 -2.192588e-03 2.841601e-04 2.196840e-03 1.507926e-07  0.00964  0.16589  4.44248
 66 -2.243027e-04 -7.289945e-05 -1.064911e-03 1.387586e-04 1.058562e-03 7.665606e-08  0.01376  0.23349 28.45422
 67 -3.375497e-04 -1.072741e-04 -2.443319e-03 3.164461e-04 2.450102e-03 1.670853e-07  0.00914  0.15753  3.81635
 68 -1.056365e-04 -3.672184e-05 -2.309525e-04 3.013786e-05 2.246026e-04 1.911709e-08  0.02928  0.47336 100.00000
 69 -1.251823e-04 -4.270868e-05 -3.255958e-04 4.257024e-05 3.192460e-04 2.597431e-08  0.02469  0.40468 100.00000
 70 -1.739746e-04 -5.759279e-05 -6.347552e-04 8.299876e-05 6.284054e-04 4.760159e-08  0.01775  0.29728 100.00000
 71 -1.804751e-04 -5.957173e-05 -6.838052e-04 8.939785e-05 6.774554e-04 5.096905e-08  0.01711  0.28714 100.00000
 72 -1.562203e-04 -5.218394e-05 -5.102088e-04 6.673510e-05 5.038589e-04 3.898672e-08  0.01977  0.32903 100.00000
 73 -2.009345e-04 -6.579606e-05 -8.508100e-04 1.110926e-04 8.444601e-04 6.231353e-08  0.01536  0.25932 58.29025
 74 -1.732544e-04 -5.737348e-05 -6.294342e-04 8.230440e-05 6.230844e-04 4.723550e-08  0.01782  0.29845 100.00000
 75 -8.705284e-05 -3.100568e-05 -1.564477e-04 2.031243e-05 1.500979e-04 1.355577e-08  0.03557  0.56476 100.00000
 76 -1.019461e-04 -3.558894e-05 -2.149567e-04 2.803199e-05 2.086069e-04 1.793837e-08  0.03035  0.48906 100.00000
 77 -8.268949e-05 -2.965868e-05 -1.411402e-04 1.828721e-05 1.347904e-04 1.238543e-08  0.03746  0.59164 100.00000
 78 -3.241786e-04 -1.032182e-04 -2.251148e-03 2.917018e-04 2.255992e-03 1.546023e-07  0.00951  0.16382  4.27755
 79 -2.001359e-04 -6.555321e-05 -8.439184e-04 1.102015e-04 8.375685e-04 6.184949e-08  0.01542  0.26030 60.02976
 80 -2.838570e-04 -9.098379e-05 -1.719340e-03 2.231865e-04 1.718765e-03 1.198866e-07  0.01087  0.18625  6.54278
 81 -1.662727e-04 -5.524717e-05 -5.790329e-04 7.572532e-05 5.726831e-04 4.375971e-08  0.01857  0.31026 100.00000
 82 -3.615616e-04 -1.145565e-04 -2.808198e-03 3.634129e-04 2.818657e-03 1.907164e-07  0.00853  0.14737  3.17495
 83 -8.064678e-05 -2.902727e-05 -1.342595e-04 1.737591e-05 1.279097e-04 1.185523e-08  0.03841  0.60514 100.00000
 84 -2.982743e-04 -9.535900e-05 -1.901264e-03 2.466318e-04 1.902562e-03 1.317944e-07  0.01034  0.17755  5.51837
 85 -3.858004e-04 -1.219065e-04 -3.202293e-03 4.141208e-04 3.216716e-03 2.161523e-07  0.00799  0.13836  2.69214
 86 -3.488160e-04 -1.106911e-04 -2.611354e-03 3.380779e-04 2.619831e-03 1.779787e-07  0.00884  0.15259  3.49035
 87 -3.561414e-04 -1.129128e-04 -2.723613e-03 3.525270e-04 2.733220e-03 1.852458e-07  0.00866  0.14954  3.30295
 88 -2.533510e-04 -8.172299e-05 -1.364594e-03 1.774412e-04 1.358244e-03 9.654384e-08  0.01218  0.20778 11.31475
 89 -3.912078e-04 -1.235460e-04 -3.293742e-03 4.258849e-04 3.309083e-03 2.220435e-07  0.00788  0.13650  2.60088
