% Exp     F_O2        F_NO3        F_SO4        F_NH4        F_H2S        F_PO4          zox     zNO3     zSO4
 47 -3.063658e-05 -2.929156e-07 -1.303081e-05 5.008320e-07 6.681200e-06 2.130769e-10  3.82104  5.34225 100.00000
 48 -8.102325e-04 -7.457625e-06 -7.946388e-04 8.819971e-05 7.882892e-04 2.129774e-07  0.13115  0.22230 100.00000
 49 -6.263441e-05 -1.428087e-06 -1.374380e-05 2.692850e-06 7.394192e-06 2.656180e-10  1.67222  2.70400 100.00000
 50 -2.560775e-04 3.261702e-06 -1.246329e-04 6.562293e-06 1.182833e-04 1.218639e-08  0.40477  0.82129 100.00000
 51 -5.763458e-05 -1.092131e-07 -1.719937e-05 2.436192e-07 1.084976e-05 2.843740e-10  1.80473  3.31543 100.00000
 52 -1.864085e-05 -3.342528e-07 -8.704735e-06 5.861482e-07 2.355122e-06 NaN  6.74237  8.38552 100.00000
 53 -4.181884e-06 -2.116105e-08 -6.384991e-06 -1.182011e-08 3.537798e-08     NaN 27.61703 37.71816 100.00000
 54 -4.497244e-06 3.862949e-09 -6.941747e-06 -1.081000e-08 5.921341e-07 NaN 27.02366 35.99499 100.00000
 55 -3.610949e-06 -2.621900e-09 -6.785376e-06 3.433542e-08 4.357631e-07 NaN 36.75500 44.96849 100.00000
 56 -6.447007e-05 -1.283816e-06 -1.627492e-05 2.430160e-06 9.925310e-06 1.121575e-09  1.68496  2.55979 100.00000
 57 -7.178116e-05 8.204686e-07 -1.779400e-05 8.598449e-07 1.144439e-05 9.382529e-10  1.38524  3.36410 100.00000
 58 -3.174282e-05 -6.023198e-07 -1.395292e-05 1.474606e-06 7.603304e-06 2.838600e-10  3.59645  5.07080 100.00000
 59 -1.372594e-04 -2.096535e-06 -6.275255e-05 9.180007e-06 5.640294e-05 2.163346e-09  0.77873  1.27605 100.00000
 60 -3.192664e-05 1.766199e-07 -7.729850e-06 -9.176654e-08 1.380237e-06 5.539870e-11  3.10730  7.46362 100.00000
 61 -3.529804e-05 -8.151177e-07 -7.358004e-06 1.122689e-06 1.008391e-06 3.381624e-10  2.96937  4.76264 100.00000
 62 -4.644439e-04 3.728555e-06 -2.541544e-04 2.562036e-05 2.478048e-04 5.549397e-08  0.21780  0.47606 100.00000
 63 -9.282318e-06 -1.532167e-07 -7.991917e-06 1.914871e-07 1.642304e-06 5.692606e-11 11.66746 17.65608 100.00000
 64 -5.335901e-06 -6.379910e-08 -6.647657e-06 1.264702e-07 2.980441e-07 NaN 24.14908 30.01544 100.00000
 65 -5.516481e-05 -9.585715e-07 -1.980882e-05 2.739458e-06 1.345921e-05 6.376017e-10  1.84051  3.43552 100.00000
 66 -8.725366e-05 -1.261761e-06 -2.054721e-05 1.623651e-06 1.419760e-05 8.583485e-10  1.20416  2.05712 100.00000
 67 -1.808908e-05 -2.898289e-07 -6.905132e-06 4.461422e-07 5.555190e-07 NaN  5.65679 10.31400 100.00000
 68 -1.939642e-05 -2.377255e-07 -8.751210e-06 2.074938e-07 2.401597e-06 NaN  5.30417  9.61424 100.00000
 69 -1.113843e-05 -1.067409e-07 -6.313605e-06 -4.136581e-08 -3.600807e-08 NaN  9.26533 16.66431 100.00000
 70 -3.986164e-05 9.753593e-08 -1.295951e-05 -5.055449e-08 6.609902e-06 3.811914e-10  2.50901  5.60258 100.00000
 71 -8.300415e-04 -1.072173e-05 -8.364674e-04 1.044341e-04 8.301178e-04 1.239418e-07  0.13146  0.20770 100.00000
 72 -3.890855e-04 -5.428998e-06 -2.113710e-04 2.931612e-05 2.050213e-04 2.166370e-08  0.26277  0.48961 100.00000
 73 -3.114275e-05 -1.081435e-07 -9.458151e-06 9.556676e-07 3.108538e-06 1.726506e-10  3.20184  7.14115 100.00000
 74 -9.043667e-06 -1.594320e-07 -8.841626e-06 2.694281e-07 2.492014e-06 NaN 12.30775 17.64331 100.00000
 75 -1.249688e-04 2.276981e-08 -4.694002e-05 2.742816e-06 4.059040e-05 3.457064e-09  0.83348  1.56022 100.00000
 76 -3.383553e-06 -1.618317e-08 -6.455685e-06 2.502083e-08 1.060726e-07 NaN 37.38591 46.46241 100.00000
 77 -2.596653e-04 -4.069737e-06 -1.727203e-04 2.404690e-05 1.663707e-04 1.072944e-08  0.40215  0.69598 100.00000
 78 -3.099598e-04 1.507742e-06 -1.577331e-04 9.627792e-06 1.513835e-04 5.027530e-08  0.33624  0.64631 100.00000
 79 -6.090712e-07 5.841072e-08 -6.349613e-06 8.719233e-10 1.421335e-22 NaN 100.00000 100.00000 100.00000
 80 -1.571596e-03 -8.755434e-06 -1.376232e-03 1.782907e-04 1.369883e-03 1.191259e-07  0.06803  0.11479 100.00000
 81 -3.870635e-05 -3.110082e-07 -1.355865e-05 6.663737e-07 7.209039e-06 3.601417e-10  2.64910  4.98519 100.00000
 82 -1.261096e-05 -7.447145e-08 -8.516699e-06 1.291444e-07 2.167086e-06 NaN  8.33413 14.60887 100.00000
 83 -5.488858e-04 -2.744747e-06 -1.707141e-04 2.164792e-05 1.643645e-04 3.358583e-08  0.18360  0.38139 100.00000
 84 -1.534321e-03 -1.301679e-05 -1.406101e-03 1.821936e-04 1.399751e-03 1.915189e-07  0.06908  0.11715 100.00000
 85 -3.394533e-05 3.549576e-09 -1.397817e-05 -1.051159e-08 7.628558e-06 4.173743e-11  3.00879  5.97083 100.00000
 86 -1.902684e-04 -5.391191e-07 -6.702006e-05 7.300810e-06 6.067045e-05 3.403595e-09  0.54630  1.02747 100.00000
 87 -1.377060e-04 -2.056402e-06 -2.417039e-05 4.861863e-06 1.782077e-05 1.421214e-09  0.73919  1.38428 100.00000
 88 -2.911351e-04 -2.265331e-06 -1.233678e-04 1.699006e-05 1.170181e-04 1.512183e-08  0.34700  0.70419 100.00000
 89 -2.688942e-05 -2.872854e-07 -9.798770e-06 3.659448e-07 3.449157e-06 7.627802e-10  4.19958  6.23645 100.00000
 90 -7.915825e-04 -1.306040e-05 -3.291448e-04 5.339687e-05 3.227952e-04 1.424588e-07  0.13853  0.21092 100.00000
 91 -7.590429e-04 -7.462207e-06 -4.723986e-04 6.296681e-05 4.660490e-04 9.452173e-08  0.13671  0.24677 100.00000
 92 -3.137829e-05 -6.602671e-07 -9.419474e-06 8.303250e-07 3.069861e-06 3.803989e-10  3.55063  5.02505 100.00000
 93 -1.946116e-05 -2.256689e-07 -8.739815e-06 3.109088e-07 2.390203e-06 NaN  6.14046  8.24440 100.00000
 94 -3.954705e-06 -5.374099e-08 -6.788426e-06 1.104063e-07 4.388138e-07 NaN 32.38318 39.47620 100.00000
 95 -2.173291e-04 -2.568047e-06 -8.639972e-05 8.515902e-06 8.005011e-05 8.859531e-09  0.52036  0.78460 100.00000
 96 -1.307771e-03 -7.163164e-06 -1.453969e-03 1.676658e-04 1.447620e-03 1.686944e-07  0.08335  0.13563 100.00000
 97 -1.542676e-05 -1.897512e-07 -7.283889e-06 1.055237e-07 9.342760e-07 NaN  6.60259 12.43392 100.00000
 98 -5.946135e-04 -7.200737e-06 -3.507271e-04 4.038327e-05 3.443775e-04 4.190268e-08  0.17656  0.30318 100.00000
 99 -1.785116e-05 -2.490139e-07 -1.055946e-05 5.776061e-07 4.209844e-06 NaN  5.78240 10.36234 100.00000
100 -5.779603e-04 1.177281e-06 -3.136878e-04 4.190404e-05 3.073382e-04 3.470512e-08  0.17526  0.37066 100.00000
101 -3.030524e-04 -3.276047e-06 -1.311154e-04 1.551419e-05 1.247658e-04 1.264828e-08  0.34244  0.61768 100.00000
102 -1.273543e-05 -1.486289e-07 -6.684329e-06 3.800348e-08 3.347168e-07 1.004549e-10  8.12119 14.42285 100.00000
103 -3.903520e-04 8.025767e-07 -1.528750e-04 2.156582e-05 1.465254e-04 2.141712e-08  0.25817  0.56042 100.00000
104 -1.959265e-04 4.595073e-07 -9.903404e-05 3.467057e-06 9.268442e-05 4.750046e-09  0.51981  1.06020 100.00000
105 -1.538518e-06 1.542982e-07 -6.349613e-06 7.672799e-09 1.323850e-21 NaN 100.00000 100.00000 100.00000
106 -7.766562e-05 -1.007936e-06 -2.107242e-05 2.775574e-06 1.472281e-05 2.999715e-10  1.30194  2.53312 100.00000
107 -4.341880e-05 -4.175559e-07 -2.144029e-05 1.608105e-06 1.509067e-05 1.719645e-10  2.45120  4.11786 100.00000
108 -4.060394e-04 -2.690471e-06 -1.089387e-04 1.863418e-05 1.025890e-04 1.170727e-08  0.25450  0.47822 100.00000
109 -1.948558e-05 -1.640477e-07 -1.133951e-05 6.665088e-08 4.989901e-06 NaN  5.70835  8.59552 100.00000
110 -1.008598e-05 7.066600e-08 -7.998263e-06 3.050837e-08 1.648651e-06 NaN 13.40880 17.40307 100.00000
111 -1.092380e-04 -8.375547e-07 -3.663728e-05 1.269385e-06 3.028767e-05 3.256218e-09  0.95900  1.68533 100.00000
112 -5.138868e-05 -1.034721e-06 -1.339435e-05 1.996464e-06 7.044742e-06 3.266685e-10  2.12813  3.18254 100.00000
113 -1.102361e-03 -2.115375e-05 -9.979728e-04 1.458977e-04 9.916232e-04 8.492658e-08  0.10248  0.14720 100.00000
114 -4.389792e-06 -4.146390e-08 -6.352788e-06 2.637097e-09 3.175474e-09 NaN 26.07762 35.34217 100.00000
115 -4.025094e-06 -3.257185e-08 -6.562784e-06 7.298307e-08 2.131714e-07 NaN 32.61393 39.87732 100.00000
116 -6.868040e-05 -1.625862e-06 -2.716876e-05 3.782842e-06 2.081915e-05 2.369816e-09  1.61559  2.30800 100.00000
117 -1.144301e-04 1.259334e-07 -3.754069e-05 1.699948e-06 3.119107e-05 4.393778e-09  0.89705  1.76234 100.00000
118 -1.929789e-05 -2.934564e-07 -1.188729e-05 6.857921e-07 5.537676e-06 NaN  5.38260  9.37659 100.00000
119 -1.585800e-04 -1.258504e-06 -2.815563e-05 3.040218e-06 2.180602e-05 3.700678e-09  0.63573  1.29089 100.00000
120 -5.415213e-05 -5.129027e-07 -1.250184e-05 6.810853e-07 6.152223e-06 1.276846e-10  1.91193  3.43542 100.00000
121 -1.461799e-04 -2.559333e-06 -5.051143e-05 7.139876e-06 4.416181e-05 1.947564e-09  0.70755  1.23227 100.00000
122 -2.985514e-04 -3.288656e-07 -1.158133e-04 7.625880e-06 1.094637e-04 2.319184e-08  0.36938  0.60910 100.00000
123 -2.440751e-04 -8.098144e-07 -1.174516e-04 7.415020e-06 1.111020e-04 2.063544e-08  0.42061  0.81351 100.00000
124 -1.059122e-05 -2.609887e-07 -6.490212e-06 3.169835e-07 1.405996e-07 NaN 10.11184 15.16183 100.00000
125 -2.123622e-04 1.648124e-06 -8.695821e-05 3.745773e-06 8.060860e-05 1.049450e-08  0.49726  0.93782 100.00000
126 -5.684102e-06 -6.551620e-08 -6.291653e-06 4.080761e-08 -5.795923e-08 NaN 19.35218 28.30983 100.00000
127 -3.685480e-04 -3.188567e-09 -1.552834e-04 1.237572e-05 1.489338e-04 1.982694e-08  0.27471  0.57339 100.00000
128 -3.286297e-04 -6.541480e-06 -7.487911e-05 1.645081e-05 6.852950e-05 1.407955e-08  0.31350  0.54772 100.00000
129 -9.200723e-05 -1.170143e-06 -3.549499e-05 4.554284e-06 2.914537e-05 4.851284e-09  1.12778  2.00179 100.00000
130 -1.909791e-05 -3.359702e-07 -1.345837e-05 8.504581e-07 7.108758e-06 NaN  5.52242  9.09777 100.00000
131 -2.293535e-05 -2.035222e-07 -7.418626e-06 1.771053e-07 1.069014e-06 7.122048e-11  4.43021  8.60778 100.00000
132 -5.123492e-06 -5.903235e-08 -6.824395e-06 6.846933e-08 4.747828e-07 NaN 22.61616 30.61689 100.00000
133 -2.163527e-04 -3.884239e-06 -6.376683e-05 1.031993e-05 5.741722e-05 8.380168e-09  0.50870  0.77709 100.00000
134 -7.547811e-05 -7.928880e-07 -2.174818e-05 1.525991e-06 1.539857e-05 3.817613e-10  1.39663  2.37395 100.00000
135 -3.862764e-06 -6.942494e-08 -6.384489e-06 1.041938e-07 3.487597e-08 NaN 31.83810 39.36738 100.00000
136 -1.016716e-03 -1.351220e-05 -6.912244e-04 1.028474e-04 6.848748e-04 8.286309e-08  0.10154  0.18234 100.00000
137 -1.402904e-04 -2.779475e-07 -2.310458e-05 1.711458e-06 1.675497e-05 1.810189e-09  0.73101  1.44601 100.00000
138 -2.956702e-04 -4.467949e-06 -1.362674e-04 1.463196e-05 1.299178e-04 1.972384e-08  0.36961  0.57289 100.00000
139 -1.709123e-04 -2.165492e-06 -3.153612e-05 4.995618e-06 2.518651e-05 3.557702e-09  0.60268  1.10586 100.00000
140 -7.031009e-05 -1.018046e-06 -1.069277e-05 1.869423e-06 4.343159e-06 4.873863e-10  1.45400  2.67211 100.00000
141 -9.114417e-04 1.979133e-06 -8.027299e-04 7.685939e-05 7.963803e-04 1.280428e-07  0.11768  0.20560 100.00000
142 -8.480331e-04 -1.350374e-05 -6.548910e-04 8.243755e-05 6.485413e-04 7.954554e-08  0.13659  0.19143 100.00000
143 -2.680111e-06 2.228572e-08 -6.511374e-06 1.748979e-08 1.617616e-07 NaN 54.43905 63.82812 100.00000
144 -2.819283e-06 -9.935827e-09 -6.336375e-06 3.078760e-08 -1.323773e-08 NaN 47.59796 56.74793 100.00000
145 -1.090559e-05 -1.877644e-07 -6.211567e-06 2.429957e-07 -1.380453e-07 NaN  9.63207 15.92765 100.00000
146 -2.488598e-05 8.740778e-08 -1.149575e-05 -2.268299e-08 5.146140e-06 NaN  4.03566  8.86663 100.00000
147 -1.421276e-04 -2.132280e-06 -4.787481e-05 8.444013e-06 4.152520e-05 4.588346e-09  0.72968  1.28871 100.00000
148 -1.958298e-06 7.272042e-08 -6.349613e-06 1.165359e-08 -3.366156e-22 NaN 91.47228 100.00000 100.00000
149 -1.528181e-04 -2.735399e-06 -2.133633e-05 5.035662e-06 1.498672e-05 2.751326e-09  0.66671  1.22339 100.00000
150 -6.849709e-05 -6.677581e-07 -2.571201e-05 1.205548e-06 1.936240e-05 4.148485e-10  1.59032  2.51502 100.00000
151 -6.671113e-05 -9.598368e-07 -3.020009e-05 1.969748e-06 2.385047e-05 3.220541e-10  1.67442  2.50335 100.00000
152 -1.070498e-03 -9.545662e-06 -6.554151e-04 8.471202e-05 6.490654e-04 2.353326e-07  0.09695  0.17420 100.00000
