% Exp     F_O2        F_NO3        F_SO4        F_NH4        F_H2S        F_PO4          zox     zNO3     zSO4
 46 -9.301480e-05 -3.804567e-05 -1.783374e-04 2.289332e-05 1.719878e-04 9.170649e-09  0.03323  0.45910 100.00000
 47 -1.647718e-05 -5.086271e-06 -1.773975e-05 1.081076e-06 1.139014e-05 8.974104e-10  0.18549  3.21142 100.00000
 48 -1.914313e-04 -1.108474e-04 -1.075462e-03 1.356416e-04 1.069113e-03 2.325891e-07  0.01665  0.15578 100.00000
 49 -3.040431e-05 -8.278831e-06 -3.077105e-05 3.965887e-06 2.442144e-05 2.269307e-09  0.09993  2.10598 100.00000
 50 -8.180483e-05 -2.759669e-05 -1.991293e-04 2.162865e-05 1.927797e-04 1.740779e-08  0.03765  0.55369 100.00000
 51 -2.890581e-05 -6.200045e-06 -2.950266e-05 2.300591e-06 2.315305e-05 2.442715e-09  0.10496  2.37655 100.00000
 52 -1.046757e-05 -3.762422e-06 -1.099622e-05 6.740528e-07 4.646607e-06 1.965953e-09  0.29259  4.78029 100.00000
 53 -3.254445e-06 -6.771985e-07 -6.519912e-06 -3.320679e-09 1.702995e-07 1.947642e-10  0.93110 22.58324 100.00000
 54 -3.157109e-06 -7.716045e-07 -7.213346e-06 -1.029491e-09 8.637338e-07 2.404482e-10  0.96324 19.74823 100.00000
 55 -2.288297e-06 -7.413282e-07 -7.024658e-06 2.636113e-08 6.750459e-07 1.721926e-10  1.33645 22.59205 100.00000
 56 -3.030114e-05 -9.611741e-06 -3.239425e-05 3.780285e-06 2.604464e-05 5.190953e-09  0.10076  1.80564 100.00000
 57 -3.460779e-05 -4.767439e-06 -3.684528e-05 3.563008e-06 3.049567e-05 3.542496e-09  0.08729  2.60718 100.00000
 58 -1.702078e-05 -5.106697e-06 -1.960186e-05 1.877849e-06 1.325224e-05 7.832226e-10  0.17928  3.23413 100.00000
 59 -5.145747e-05 -1.885601e-05 -1.057000e-04 1.333516e-05 9.935036e-05 5.596940e-09  0.05975  0.89681 100.00000
 60 -1.944485e-05 -1.927042e-06 -1.399018e-05 7.755704e-07 7.640565e-06 4.423576e-10  0.15500  6.03030 100.00000
 61 -2.018398e-05 -4.617220e-06 -1.503570e-05 1.664395e-06 8.686083e-06 6.820418e-10  0.15005  3.72588 100.00000
 62 -1.272152e-04 -4.580414e-05 -4.234080e-04 5.231080e-05 4.170583e-04 6.629926e-08  0.02421  0.35091 100.00000
 63 -6.665012e-06 -1.255889e-06 -8.805639e-06 2.575009e-07 2.456027e-06 3.065425e-10  0.45380 12.37155 100.00000
 64 -3.518074e-06 -1.128447e-06 -6.919193e-06 1.119033e-07 5.695802e-07 5.748817e-11  0.86741 15.73822 100.00000
 65 -2.816556e-05 -5.762555e-06 -3.449842e-05 4.067756e-06 2.814880e-05 1.729082e-09  0.10742  2.83203 100.00000
 66 -3.853937e-05 -1.138770e-05 -4.392473e-05 4.403245e-06 3.757511e-05 2.275257e-09  0.07910  1.53141 100.00000
 67 -1.228609e-05 -1.806300e-06 -9.775706e-06 6.701862e-07 3.426094e-06 4.100473e-10  0.24558  8.27736 100.00000
 68 -1.290626e-05 -1.961440e-06 -1.157913e-05 5.574519e-07 5.229514e-06 5.360458e-10  0.23390  7.47694 100.00000
 69 -8.348481e-06 -1.089692e-06 -7.437725e-06 9.586991e-08 1.088113e-06 1.053917e-09  0.36125 12.88271 100.00000
 70 -2.269197e-05 -2.898771e-06 -2.084935e-05 1.276754e-06 1.449974e-05 7.293499e-10  0.13298  4.44084 100.00000
 71 -1.933197e-04 -1.240727e-04 -1.134669e-03 1.457986e-04 1.128319e-03 1.305558e-07  0.01674  0.13957 100.00000
 72 -1.109719e-04 -4.536910e-05 -3.616151e-04 4.682707e-05 3.552654e-04 2.640526e-08  0.02780  0.38806 100.00000
 73 -1.890044e-05 -2.209226e-06 -1.631574e-05 1.569953e-06 9.966127e-06 7.965547e-10  0.15953  5.85114 100.00000
 74 -6.232687e-06 -1.358476e-06 -9.630063e-06 3.207325e-07 3.280451e-06 3.719404e-10  0.48618 11.75466 100.00000
 75 -4.939042e-05 -1.411341e-05 -8.048870e-05 8.348407e-06 7.413908e-05 8.524549e-09  0.06184  1.09612 100.00000
 76 -2.425239e-06 -6.705152e-07 -6.557989e-06 1.890119e-08 2.083766e-07 5.247535e-11  1.25471 24.93199 100.00000
 77 -8.157019e-05 -3.335180e-05 -2.654953e-04 3.426073e-05 2.591457e-04 1.738917e-08  0.03785  0.51942 100.00000
 78 -9.357055e-05 -3.638558e-05 -2.503152e-04 2.801343e-05 2.439656e-04 6.503542e-08  0.03307  0.44488 100.00000
 79 -2.852650e-07 -2.320424e-07 -6.374317e-06 -6.706213e-10 2.470432e-08 1.344692e-10 11.90536 73.23395 100.00000
 80 -3.339875e-04 -2.176752e-04 -2.006565e-03 2.611646e-04 2.000216e-03 1.194602e-07  0.00973  0.07879 100.00000
 81 -2.177906e-05 -3.852339e-06 -2.141276e-05 1.713829e-06 1.506315e-05 1.492506e-09  0.13886  3.80894 100.00000
 82 -8.942862e-06 -1.243614e-06 -9.882524e-06 2.974128e-07 3.532912e-06 2.589980e-10  0.33770 10.42360 100.00000
 83 -1.451161e-04 -5.678357e-05 -3.897673e-04 4.977750e-05 3.834176e-04 3.895494e-08  0.02123  0.30553 100.00000
 84 -3.273468e-04 -2.084866e-04 -2.024365e-03 2.638300e-04 2.018016e-03 1.977689e-07  0.00987  0.08311 100.00000
 85 -1.984474e-05 -2.972168e-06 -1.983962e-05 1.057772e-06 1.349001e-05 3.261282e-10  0.15227  4.45871 100.00000
 86 -6.630971e-05 -2.220603e-05 -1.286649e-04 1.528484e-05 1.223153e-04 7.754730e-09  0.04628  0.73204 100.00000
 87 -5.374889e-05 -1.530378e-05 -7.118045e-05 9.338907e-06 6.483083e-05 2.489486e-09  0.05662  1.12195 100.00000
 88 -9.057605e-05 -3.019447e-05 -2.331958e-04 2.998090e-05 2.268462e-04 2.203149e-08  0.03379  0.56123 100.00000
 89 -1.557207e-05 -4.066476e-06 -1.400509e-05 8.026782e-07 7.655475e-06 1.522809e-09  0.19546  3.95172 100.00000
 90 -1.888921e-04 -1.231502e-04 -6.425728e-04 8.358405e-05 6.362231e-04 1.553138e-07  0.01713  0.14549 100.00000
 91 -1.839782e-04 -9.488961e-05 -7.756026e-04 1.006552e-04 7.692530e-04 1.030663e-07  0.01708  0.18413 100.00000
 92 -1.766494e-05 -5.096593e-06 -1.494464e-05 1.294967e-06 8.595027e-06 1.924771e-09  0.17223  3.44439 100.00000
 93 -1.152255e-05 -3.406712e-06 -1.117018e-05 5.308757e-07 4.820571e-06 1.642060e-09  0.26468  4.88646 100.00000
 94 -2.544605e-06 -8.020067e-07 -7.002378e-06 9.263975e-08 6.527655e-07 5.954861e-10  1.19990 21.18460 100.00000
 95 -6.992976e-05 -3.593735e-05 -1.491766e-04 1.673339e-05 1.428270e-04 1.340659e-08  0.04501  0.49506 100.00000
 96 -2.828942e-04 -1.908291e-04 -1.915473e-03 2.444296e-04 1.909123e-03 1.768395e-07  0.01159  0.08907 100.00000
 97 -1.088422e-05 -1.438614e-06 -9.317394e-06 3.409714e-07 2.967782e-06 1.413871e-10  0.27705 10.01895 100.00000
 98 -1.515020e-04 -7.901417e-05 -5.664829e-04 7.133550e-05 5.601332e-04 4.567613e-08  0.02075  0.22302 100.00000
 99 -1.192372e-05 -1.805922e-06 -1.316261e-05 8.418121e-07 6.812999e-06 5.543043e-10  0.25321  7.98230 100.00000
100 -1.499374e-04 -5.959024e-05 -5.485157e-04 7.108816e-05 5.421661e-04 3.793617e-08  0.02062  0.27892 100.00000
101 -9.221112e-05 -3.755535e-05 -2.371622e-04 2.935594e-05 2.308126e-04 1.544420e-08  0.03350  0.46192 100.00000
102 -9.261320e-06 -1.297353e-06 -8.120589e-06 2.014844e-07 1.770977e-06 2.378040e-10  0.32577 11.11677 100.00000
103 -1.122264e-04 -3.817961e-05 -3.078703e-04 3.983235e-05 3.015206e-04 2.806537e-08  0.02734  0.42892 100.00000
104 -6.825388e-05 -2.004793e-05 -1.509035e-04 1.551223e-05 1.445538e-04 8.961308e-09  0.04475  0.78905 100.00000
105 -8.813126e-07 -3.950291e-07 -6.373446e-06 2.332267e-10 2.383387e-08 2.460433e-10  3.52217 43.85060 100.00000
106 -3.610674e-05 -7.818357e-06 -4.348671e-05 5.146693e-06 3.713710e-05 1.274915e-09  0.08388  2.07204 100.00000
107 -2.278737e-05 -5.240310e-06 -3.020275e-05 2.749020e-06 2.385314e-05 2.167297e-09  0.13329  2.86049 100.00000
108 -1.149915e-04 -4.863641e-05 -2.695743e-04 3.530691e-05 2.632247e-04 1.273226e-08  0.02695  0.35409 100.00000
109 -1.207740e-05 -2.751171e-06 -1.371367e-05 4.528795e-07 7.364057e-06 3.588829e-10  0.25130  5.58965 100.00000
110 -5.802058e-06 -2.023035e-06 -9.051251e-06 9.458656e-08 2.701638e-06 5.870772e-11  0.52895  8.22263 100.00000
111 -4.498083e-05 -1.356383e-05 -6.399566e-05 6.071087e-06 5.764605e-05 1.169256e-08  0.06788  1.22211 100.00000
112 -2.561100e-05 -7.726968e-06 -2.526154e-05 2.913921e-06 1.891193e-05 2.485758e-09  0.11905  2.21360 100.00000
113 -2.428443e-04 -1.817882e-04 -1.424112e-03 1.877792e-04 1.417762e-03 8.817623e-08  0.01373  0.09656 100.00000
114 -3.416541e-06 -7.366114e-07 -6.500561e-06 1.056276e-08 1.509488e-07 8.136770e-11  0.88668 21.82559 100.00000
115 -2.676344e-06 -8.602159e-07 -6.733497e-06 5.980961e-08 3.838847e-07 2.141452e-10  1.14067 20.43863 100.00000
116 -3.076824e-05 -1.117599e-05 -4.397671e-05 5.191298e-06 3.762710e-05 9.144240e-09  0.09962  1.59288 100.00000
117 -4.695031e-05 -1.181066e-05 -6.806101e-05 6.884375e-06 6.171140e-05 1.524271e-08  0.06483  1.28569 100.00000
118 -1.257730e-05 -2.073102e-06 -1.475775e-05 9.912273e-07 8.408134e-06 4.688395e-10  0.24020  7.14088 100.00000
119 -5.965293e-05 -1.594081e-05 -8.042760e-05 9.607018e-06 7.407799e-05 8.638863e-09  0.05098  1.04555 100.00000
120 -2.778275e-05 -6.057173e-06 -2.493214e-05 2.281138e-06 1.858252e-05 6.330601e-10  0.10911  2.58188 100.00000
121 -5.518647e-05 -1.808338e-05 -9.786953e-05 1.227470e-05 9.151992e-05 4.026949e-09  0.05537  0.96322 100.00000
122 -8.946882e-05 -4.446677e-05 -2.034910e-04 2.230897e-05 1.971414e-04 3.301606e-08  0.03520  0.38342 100.00000
123 -7.937617e-05 -2.742594e-05 -1.902290e-04 2.120163e-05 1.838794e-04 3.400296e-08  0.03866  0.60626 100.00000
124 -7.677406e-06 -1.484230e-06 -7.602588e-06 3.652112e-07 1.252976e-06 3.362534e-10  0.39361 11.46289 100.00000
125 -7.122439e-05 -2.551482e-05 -1.462116e-04 1.516002e-05 1.398620e-04 1.479710e-08  0.04333  0.61748 100.00000
126 -4.415672e-06 -8.011555e-07 -6.574331e-06 5.750553e-08 2.247181e-07 3.901604e-10  0.68508 18.51060 100.00000
127 -1.075375e-04 -3.794796e-05 -2.816226e-04 3.346061e-05 2.752730e-04 2.575313e-08  0.02856  0.43946 100.00000
128 -9.861102e-05 -4.127275e-05 -2.070032e-04 2.795694e-05 2.006536e-04 1.815394e-08  0.03128  0.44267 100.00000
129 -3.978997e-05 -1.081048e-05 -6.190650e-05 7.439695e-06 5.555689e-05 9.707884e-09  0.07650  1.50113 100.00000
130 -1.222922e-05 -2.267146e-06 -1.621335e-05 1.135727e-06 9.863733e-06 7.283920e-10  0.24731  6.73469 100.00000
131 -1.490748e-05 -2.065151e-06 -1.125830e-05 6.224367e-07 4.908685e-06 2.916051e-10  0.20240  6.82797 100.00000
132 -3.715466e-06 -8.466893e-07 -7.097440e-06 7.335252e-08 7.478276e-07 2.584250e-10  0.81660 18.49601 100.00000
133 -7.085402e-05 -3.421799e-05 -1.353049e-04 1.690658e-05 1.289553e-04 1.340444e-08  0.04407  0.52895 100.00000
134 -3.459792e-05 -9.500772e-06 -4.023404e-05 4.035752e-06 3.388443e-05 1.941600e-09  0.08802  1.71069 100.00000
135 -2.751578e-06 -7.664206e-07 -6.493185e-06 8.678152e-08 1.435726e-07 1.881115e-10  1.10523 22.46538 100.00000
136 -2.330657e-04 -1.258105e-04 -1.130546e-03 1.499806e-04 1.124196e-03 8.635266e-08  0.01352  0.14079 100.00000
137 -5.451186e-05 -1.508716e-05 -6.654973e-05 7.271329e-06 6.020012e-05 5.364228e-09  0.05593  1.07378 100.00000
138 -8.847391e-05 -4.548183e-05 -2.291567e-04 2.740889e-05 2.228071e-04 2.784350e-08  0.03549  0.39210 100.00000
139 -6.220618e-05 -2.033989e-05 -8.986100e-05 1.109263e-05 8.351138e-05 7.021392e-09  0.04916  0.85565 100.00000
